Topic,Count,Name,Representation,Representative_Docs
-1,69,-1_the_and_to_in,"['the', 'and', 'to', 'in', 'it', 'my', 'is', 'you', 'of', 'at']","['if i could punch you in the face right now and then take you to el dorado again', 'obama thank you for extending our hand to those who do not want it and slapping our country in the face at the same time', 'sometimes turning the other cheek cut it and the best you can do for jesus is get it over with quick']"
0,106,0_the_you_to_in,"['the', 'you', 'to', 'in', 'and', 'me', 'but', 'is', 'lol', 'for']","['in a limo and heading to the clubs thanx for the well wishes i hope to be face deep in her pussy in a few hours', 'fyi fuck with me lie or try to take me for a fool when the one with the upper hand in the situation can fuck your life up', 'aw vee i had no way to come get you sorry make it up to you before you go back to the moon']"
1,19,1_want_war_wish_you,"['want', 'war', 'wish', 'you', 'too', 'go', 'to', 'her', 'drew', 'cocksucker']","['is lonely i want a', 'you want a war get a war', 'divine i want to bang her or him']"
